start hh:mm:ss.ms	start in seconds	duration hh:mm:ss.ms	duration in seconds	annotations
00:00:00.0	0.0	00:00:03.140	3.14	['Transcript:: so we can help them tap into their inherent capacity']
00:00:03.160	3.16	00:00:03.500	3.5	['Transcript:: to be curiously aware right when that urge to smoke or stress eat']
00:00:06.680	6.68	00:00:01.200	1.2000000000000002	['Transcript:: or whatever arises.']
