start in seconds	start hh:mm:ss.ms	annotations
0.0	00:00:00.0	0.82343
0.5	00:00:00.500	0.02096
1.0	00:00:01.0	0.85962
1.5	00:00:01.500	0.73464
2.0	00:00:02.0	0.20976
2.5	00:00:02.500	0.05253
3.0	00:00:03.0	0.2391
3.5	00:00:03.500	0.48194
4.0	00:00:04.0	0.28404
4.5	00:00:04.500	0.95561
5.0	00:00:05.0	0.0691
5.5	00:00:05.500	0.03178
6.0	00:00:06.0	0.09921
6.5	00:00:06.500	0.00259
7.0	00:00:07.0	0.00024
7.5	00:00:07.500	3e-05
8.0	00:00:08.0	0.00536
