start in seconds	annotations
74.2	0.89612
74.4	0.89082
74.6	0.90541
74.8	0.90584
75	0.90343
75.2	0.90031
75.4	0.90193
75.6	0.89009
75.8	0.89748
76	0.88989
76.2	0.88791
76.4	0.88644
76.6	0.88955
76.8	0.88297
77	0.87889
77.2	0.00121
77.4	0.00113
77.6	0.00131
77.8	0.00136
78	0.00149
78.2	0.00117
78.4	0.00093
78.6	0.00072
78.8	0.00078
79	0.00089
79.2	0.00104
79.4	0.00115
79.6	0.00132
79.8	0.00187
80	0.13184
80.2	0.10802
80.4	0.16403
80.6	0.15744
80.8	0.18055
81	0.15627
81.2	0.14039
81.4	0.11877
81.6	0.11128
81.8	0.11037
82	0.16984
82.2	0.09517
82.4	0.1175
82.6	0.13834
82.8	0.15467
83	0.06479
83.2	0.01159
83.4	0.00545
83.6	0.00648
83.8	0.02319
84	0.0188
84.2	0.01501
84.4	0.03686
84.6	0.0526
84.8	0.02189
85	0.00391
85.2	0.00255
85.4	0.13861
85.6	0.18278
85.8	0.22402
86	0.21674
86.2	0.23943
86.4	0.28529
86.6	0.23349
86.8	0.17071
87	0.20324
87.2	0.12047
87.4	0.18573
87.6	0.2178
87.8	0.24516
88	0.98711
88.2	0.941
88.4	0.9409
88.6	0.96662
88.8	0.93281
89	0.56542
89.2	0.1854
89.4	0.41213
89.6	0.10057
89.8	0.0258
90	0.17497
