start in seconds	duration in seconds	annotations
0.2	29.28	"[""Emotion::Happy""]"
29.52	7.279999999999998	"[""Emotion::Happy""]"
36.84	3.319999999999993	"[""Emotion::Happy""]"
40.2	3.759999999999998	"[""Emotion::Sad""]"
44	33.2	"[""Emotion::Neutral""]"
80.04	2.8799999999999955	"[""Emotion::Neutral""]"
82.96	2.3599999999999994	"[""Emotion::Neutral""]"
85.36	2.719999999999999	"[""Emotion::Surprise""]"
88.12	7.3999999999999915	"[""Emotion::Angry""]"
