start hh:mm:ss.ms	start in seconds	duration hh:mm:ss.ms	duration in seconds	annotations
00:00:00.0	0.0	00:00:00.160	0.16
00:00:00.200	0.2	00:00:29.280	29.28
00:00:29.520	29.52	00:00:07.280	7.279999999999998
00:00:36.840	36.84	00:00:03.320	3.319999999999993
00:00:40.200	40.2	00:00:03.760	3.759999999999998
00:00:44.0	44.0	00:00:33.200	33.2
00:01:17.240	77.24	00:00:02.760	2.760000000000005
00:01:20.40	80.04	00:00:02.880	2.8799999999999955
00:01:22.960	82.96	00:00:02.360	2.3599999999999994
00:01:25.360	85.36	00:00:02.720	2.719999999999999
00:01:28.120	88.12	00:00:07.400	7.3999999999999915
