start in seconds	annotations
74.4	0.03201
74.6	0.02908
74.8	0.02754
75	0.02897
75.2	0.03141
75.4	0.0313
75.6	0.04129
75.8	0.03624
76	0.03005
76.2	0.02468
76.4	0.02803
76.6	0.02585
76.8	0.027
77	0.02773
77.2	0.76331
77.4	0.82212
77.6	0.74515
77.8	0.71939
78	0.755
78.2	0.82311
78.4	0.78256
78.6	0.40595
78.8	0.40217
79	0.43153
79.2	0.37376
79.4	0.41138
79.6	0.36633
79.8	0.48071
80	0.74764
80.2	0.77171
80.4	0.70147
80.6	0.70666
80.8	0.66847
81	0.68799
81.2	0.66214
81.4	0.62078
81.6	0.63693
81.8	0.67859
82	0.62596
82.2	0.65102
82.4	0.64506
82.6	0.7028
82.8	0.71184
83	0.92279
83.2	0.96124
83.4	0.97816
83.6	0.98961
83.8	0.9729
84	0.97905
84.2	0.98243
84.4	0.96078
84.6	0.94425
84.8	0.97653
85	0.99207
85.2	0.99469
85.4	0.64881
85.6	0.60343
85.8	0.45631
86	0.68602
86.2	0.5861
86.4	0.57842
86.6	0.67463
86.8	0.7457
87	0.67315
87.2	0.52227
87.4	0.63232
87.6	0.59936
87.8	0.61631
88	0.00252
88.2	0.00388
88.4	0.02339
88.6	0.009
88.8	0.05325
89	0.43099
89.2	0.78018
89.4	0.54599
89.6	0.8864
89.8	0.97091
90	0.79922
