start in seconds	start hh:mm:ss.ms	annotations
0.0	00:00:00.0	0.123
0.5	00:00:00.500	0.96006
1.0	00:00:01.0	0.08944
1.5	00:00:01.500	0.17963
2.0	00:00:02.0	0.47528
2.5	00:00:02.500	0.90504
3.0	00:00:03.0	0.36026
3.5	00:00:03.500	0.01634
4.0	00:00:04.0	0.06597
4.5	00:00:04.500	0.01189
5.0	00:00:05.0	0.88415
5.5	00:00:05.500	0.00014
6.0	00:00:06.0	7e-05
6.5	00:00:06.500	0.67436
7.0	00:00:07.0	0.68092
7.5	00:00:07.500	0.2904
8.0	00:00:08.0	0.07446
