start in seconds	start hh:mm:ss.ms	annotations
0.0	00:00:00.0	0.00049
0.5	00:00:00.500	0.0003
1.0	00:00:01.0	0.01672
1.5	00:00:01.500	0.00234
2.0	00:00:02.0	0.00196
2.5	00:00:02.500	0.00015
3.0	00:00:03.0	0.00147
3.5	00:00:03.500	0.09837
4.0	00:00:04.0	0.046
4.5	00:00:04.500	0.02187
5.0	00:00:05.0	0.03256
5.5	00:00:05.500	0.32436
6.0	00:00:06.0	0.24746
6.5	00:00:06.500	0.00011
7.0	00:00:07.0	5e-05
7.5	00:00:07.500	0.0
8.0	00:00:08.0	0.00403
