start in seconds	annotations
0	0.12725
0.5	0.89868
1	0.90202
1.5	0.18735
2	0.91987
2.5	0.90737
3	0.81493
3.5	0.92321
4	0.11194
4.5	0.12862
5	0.13897
5.5	0.12114
6	0.15116
6.5	0.95138
7	0.96576
7.5	0.97001
8	0.9638
8.5	0.96183
9	0.96089
9.5	0.95752
10	0.94237
10.5	0.9602
11	0.9672
11.5	0.96254
12	0.13882
12.5	0.14017
13	0.93189
13.5	0.79361
14	0.59639
14.5	0.15432
15	0.1261
15.5	0.14209
16	0.15848
16.5	0.14612
17	0.13119
17.5	0.11957
18	0.14369
18.5	0.12617
19	0.15091
19.5	0.15925
20	0.19767
